numero;Nome;CP4;CP3;Rua;contacto;NIF;email;DataNasc;genero;tipoutilizador
25;António Silva;4308;120;Rua da Barroca;911493992;274542330;puwif@ipca.pt;17/10/1997;M;1
27;José Fe9rnandes;4237;160;Rua da Bouça da Pêga;912655777;18170110;katovipca.pt;15/03/1965;M;1
37;Maria Oliveira;4334;300;Rua da Cruz;912872965;233668847;tufur@ipca.pt;01/04/1951;F;1
10;Domingos Gomes;4417;12;Rua da Devesa;91119482;245884202;wagin@ipca.pt;12/10/1952;M;1
22;Bruno Moreira;4690;500;Rua da Fonte;916080590;153637989;nazif@ipca.pt;13/08/1993;M;1
59;Cândida Miranda;4264;117;Rua da Igreja;911472212;30240882;galom@ipca.pt;26/03/1986;F;4
;José António;3960;120;Rua da Lagoa;917694766;122636354;xonuf@ipcapt;13/10/1993;M;1
48;Elvira Vieira;4697;160;Rua da Lerdeira;931528063;178544577;pofuj@ipca.pt;28/11/1998;F;1
5;Maria Peixoto;3906;;Rua da Poça;938661133;122052899;xuxun@ipca.pt;26/05/1996;F;1
14;Dulcineia Vilaça;3828;512;Rua da Quinta do Alívio;93689609;238321562;lomel@ipca.pt;16/01/1966;F;1
5;Bruno Monteiro;3896;500;Rua da Ribeira;939658195;308619332;wiqev@ipca.pt;21/07/1971;M;1
53;Iva Eiras;4267;117;Rua de Burgueiros;933216782;221215847;xiqev@ipca.pt;01/06/1951;F;1
27;Liliana Oliveira;4333;12;Rua de Fontelo;930944710;289338190;revup@;21/10/1951;F;1
17;Bruno Santos;4718;160;Rua de Fundevila;93045027;237683447;feqov@ipca.pt;18/07/1988;M;1
;Maria Vassalo;3909;300;Rua de Larim;934242420;213694863;rogef@ipca.pt;25/06/1955;F;1
40;Cidalina Cunha;4717;512;Rua de Sampaio;936212342;149969591;xewep@ipca.pt;19/08/1989;F;1
2;Luís Lima98;4498;500;Rua de São Miguel;93991649;19964944;ronit@ipca.pt;04/08/1994;M;1
56;Cátia Magalhães;4523;17;Rua do Bairro Alto;939985761;246342348;riqig@ipca.pt;09/12/1989;F;1
14;Ricardo Campos;4366;120;Rua do Calvário;937920390;242941069;cosax@ipca.pt;09/01/1959;M;1
55;Susana Costa;4080;160;Rua do Casal;930012907;277208852;@ipca.pt;03/11/1963;F;1
4;José Silva;4558;300;Rua do Conhecimento;933473411;259655502;tivij@ipca.pt;18/04/1978;M;1
2;Carmen Oliveira;4915;51;Rua do Couto;933271800;19916890;xanel@ipca.pt;14/01/1984;F;4
51;Joana Pereira;4118;500;Rua do Couto;922830718;243833921;jocem@ipca.pt;21/11/1961;F;1
41;Lúcia Silva;4601;117;Rua do Giestal;925347918;111583446;sexic@ipca.pt;16/05/1976;F;1
9;Liliana Figueiredo;4698;120;Rua do Moinho;926874638;178638800;mogin@ipca.pt;12/07/1992;F;1
55;Carla Silva;4387;160;Rua do Padrão;923603078;304283832;tasot@ipca.pt;16/05/1966;F;2
20;José Ferreira;4635;300;Rua do Penedo;92544904;166255569;kocoq@ipca.pt;23/04/1993;M;2
;João Gonçalves;3889;512;Rua do Rio Homem;923774739;96052637;pubot@;28/10/1968;M;2
15;Ricardo Santos;3947;500;Rua do Santuário do Alívio;925843882;125806129;sitax@ipca.pt;28/03/1988;M;2
77;Maria Fonseca;3980;11;Rua João Chaves;913055731;146925493;mijoc@ipca.pt;09/06/1959;F;2
68;Hugo Barbosa;3827;120;Rua Nova da Cruz;915351490;115284097;tiqiw@ipca.pt;29/06/1969;M;2
